Country;Metric;Imperial;Name;(age at death)
United States;272 cm;8 ft 11.1 in;Robert Wadlow;1918–1940 (22)
United States;267 cm;8 ft 9 in;John Rogan;1867–1905 (38)
United States;264 cm;8 ft 8 in;John F. Carroll;1932–1969 (37)
United States;262 cm;8 ft 7 in;Willie Camper;1924–1943 (18)
Austria;258 cm;8 ft 5.6 in;Franz Winkelmeier;1860–1887 (27)
Ukraine;258 cm;8 ft 5.6 in;Leonid Stadnyk;1970–2014 (44)
Thailand;257 cm;8 ft 5.2 in;Pornchai Saosri;1989–2015 (26)
Vietnam;257 cm;8 ft 5.25 in;Hồ Văn Trung;1984–2019 (34)
German Empire;256 cm;8 ft 4.8 in;Julius Koch;1872–1902 (30)
Roman Empire;255.66 cm;8 ft 4.65 in;Maximinus Thrax;173–238 (aged 64–65)
United States;255 cm;8 ft 4.5 in;Al Tomaini;1912–1962 (50)
Finland;251.4 cm;8 ft 3 in;Väinö Myllyrinne;1909–1963 (54)
India;251 cm;8 ft 3 in;Vikas Uppal;1986–2007 (21)
Turkey;251 cm;8 ft 2.8 in[23];Sultan Kösen;born 1982
United States;248.9 cm;8 ft 2 in;Don Koehler;1925–1981 (55)
United States;248.9 cm;8 ft 2 in;Bernard Coyne;1897–1921 (23)
Morocco;246 cm;8 ft 1 in[26];Brahim Takioullah;born 1982
Iran;246 cm;8 ft 1 in;Morteza Mehrzad;born 1987
India;246 cm;8 ft 1 in;Dharmendra Pratap Singh;born 1983
Mozambique;245.75 cm;8 ft 0.75 in;Gabriel Estêvão Monjane;1944–1990 (45)
France;245 cm;8 ft 0.5 in;Jean-Joseph Brice;1835–?
Libya;245 cm;8 ft 0.4 in;Suleiman Ali Nashnush;1943–1991 (47)
United Kingdom;244 cm;8 ft 0 in-8 ft 1 in;James Toller;1798–1818 (20)
China;244 cm;8 ft 0 in;Zhan Shichai;1841-1847 – 5 November 1893
Pakistan;244 cm;8 ft 0 in;Zia Rasheed;born 1987
Egypt;244 cm;8 ft 0 in;Sa'id Muhammad Ghazi;1909–1941 (31–32)
Ireland;244 cm;8 ft 0 in;Patrick Cotter O'Brien;1760–1806 (46)
Ghana;244 cm;8 ft 0 in;Charles Sogli;born 1999
Holy Roman Empire;244 cm;8 ft 0 in;Anton de Franckenpoint;fl. ?–1596
China;242 cm;7 ft 11.3 in;Zhang Juncai;born 1964
Indonesia;242 cm;7 ft 11.3 in;Suparwono;1985–2012 (26)
Netherlands;242 cm;7 ft 11.3 in;Albert Johan Kramer [nl];1897–1976 (79)
Spain;242 cm;7 ft 11.3 in;Miguel Joaquín Eleicegui [es];1818–1861 (43)
India;241 cm;7 ft 11 in;Asadulla Khan;born 1988
Puerto Rico;241 cm;7 ft 11 in;Felipe Birriel;1916–1994 (78)
Nigeria;241 cm;7 ft 11 in;Abiodun Adegoke;born 1999
Soviet Union;240 cm;7 ft 10.5 in;Alexander Sizonenko;1959–2012 (53)
Austria-Hungary;240 cm;7 ft 10.5 in;Josef Drásal;1841–1886 (45)
Mongolia;240 cm;7 ft 10.5 in;Öndör Gongor;1880/85 – 1925/30
Bosnia and Herzegovina;238 cm;7 ft 10 in;Edhem Kadušić;1917–1961 (43)
Netherlands;238 cm;7 ft 10 in;Rigardus Rijnhout [nl];1922–1959 (36)
Pakistan;238 cm;7 ft 10 in;Naseer Soomro;born 1975
Japan;237 cm;7 ft 9.3 in;Yoshimitsu Matsuzaka;1930–1962 (32)
Canada;236 cm;7 ft 9 in;Olivier Rioux;born 2006
China;236.17 cm;7 ft 9 in;Sun Mingming;born 1983
China;236.1 cm;7 ft 9 in;Bao Xishun;born 1951
United Kingdom;236 cm;7 ft 9 in[53];Angus MacAskill;1825–1863 (38)
Brazil;236 cm;7 ft 9 in;Joelison Fernandes da Silva;born 1985
United Kingdom;236 cm;7 ft 9 in;William Bradley;1787–1820 (33)
United Kingdom;236 cm;7 ft 9 in;Frederick Kempster;1889–1918 (29)
United States;236 cm;7 ft 9 in;Martin Van Buren Bates;1837–1919 (81)
Finland;236 cm;7 ft 9 in;Louis Moilanen;1885–1913 (28)
Germany;236 cm;7 ft 9 in;Walter Straub;1925–1986 (61)
Algeria;236 cm;7 ft 9 in;Rachid Bara;1974–2009 (35)
Soviet Union;236 cm;7 ft 9 in;Kaba uulu Kojomkul (Каба уулу Кожомкул);1888–1955 (67)
Soviet Union;236 cm;7 ft 9 in;Uvais Akhtaev;1930–1978 (48)
Canada;236 cm;7 ft 9 in;Édouard Beaupré;1881–1904 (23)
Tunisia;235.9 cm;7 ft 8.87 in;Radhouane Charbib;born 1968
Brazil;235.5 cm;7 ft 8.7 in;Rafael França do Nascimento;born 1987
United Kingdom;235 cm;7 ft 8.5 in;Ted Evans;1924–1958 (34)
Russia;235 cm;7 ft 8.5 in;Nikolai Pankratov;born 1990
North Korea;235 cm;7 ft 8.5 in;Ri Myung-hun;born 1967
United States;235 cm;7 ft 8.5 in;Igor Vovkovinskiy;1982–2021 (38)
Ukraine;;;;
United States;235 cm;7 ft 8.5 in;Broc Brown;born 1997
United States;235 cm;7 ft 8.5 in;Cecil Boling;1920–2000 (79)
United States;234 cm;7 ft 8 in;Brenden Adams;born 1995
India;234 cm;7 ft 8 in;Polipaka Gattaiah;1975–2015 (40)
Ivory Coast;234 cm;7 ft 8 in;Abdramane Dembele;born 1985
Armenia;234 cm;7 ft 8 in;Arshavir Grigoryan;born 1990
United States;234 cm;7 ft 8 in;Bob Wegner;born 1993
United States;234 cm;7 ft 8 in;George Bell;born 1957
Fiji;234 cm;7 ft 8 in;Kaliova Seleiwau;born 1981
Austria;234 cm;7 ft 8 in;Adam Rainer;1899–1950 (51)
Pakistan;234 cm;7 ft 8 in;Alam Channa;1953–1998 (46)
Iceland;234 cm;7 ft 8 in;Jóhann K. Pétursson;1913–1984 (71)
Japan;234 cm;7 ft 8 in;Yasutaka Okayama;born 1954
Finland;233 cm;7 ft 7.7 in;Daniel Cajanus;1703–1749 (46)
