Country;Metric;Imperial;Name;ageatdeath
Netherlands;260 cm;8 ft 6.75 in;Trijntje Keever;1616–1633 (17)
United States;254 cm;8 ft 4 in;Ella Ewing;1872–1913 (40)
China;248 cm;8 ft 1.75 in;Zeng Jinlian;1964–1982 (17)
Canada;242 cm;7 ft 11.5 in;Anna Haining Bates;1846–1888 (41)
United Kingdom;241 cm;7 ft 11 in;Jane Bunford;1895–1922 (27)
Netherlands;240 cm;7 ft 10 in;Abeltje;1758–?
India;233 cm;7 ft 8 in;Siddiqa Parveen;born 1985
Indonesia;233 cm;7 ft 7.75 in;Mulia;1956–1991 (35)
China;233 cm;7 ft 7.75 in;Yao Defen;1972–2012 (40)
United States;232 cm;7 ft 7.25 in;Sandy Allen;1955–2008 (53)
Greece;230 cm;7 ft 6.5 in;Vasiliki Caliandi;1882–1904 (22)
China;221 cm;7 ft 3 in;Sun Fang;born 1987
Poland;218 cm;7 ft 2 in;Margo Dydek;1974–2011 (37)
Pakistan;218 cm;7 ft 2 in;Zainab Bibi;1972–2018 (46)
Italy;217 cm;7 ft 1.4 in;Maria Fassnauer;1879–1917 [158]
Latvia;216 cm;7 ft 1 in;Ance Baura;born 1990s
Turkey;215 cm;7 ft 0.7 in;Rumeysa Gelgi;born 1997
Thailand;214 cm;7 ft 0.25 in;Malee Duangdee;1991–2016 (24)
Latvia;213 cm;7 ft 0 in;Uljana Semjonova;born 1952
Sweden;210 cm;6 ft 10 in;Kristina Larsdotter;1819–1854 (35)
Sri Lanka;208 cm;6 ft 10 in;Tharjini Sivalingam;born 1977
